correct,correcto,
decorous,decoroso,
proper,correcto,
seemly,adecuado,
high-minded,de buenas intenciones,
noble,noble,
principled,de principios,
commendable,encomiable,
creditable,acreditable,
exemplary,ejemplar,
legitimate,legítimo,
esteemed,estimado,
law-abiding,respetuoso de la ley,
menschy,respetable,
reputable,respetado,
respected,honesto,
upstanding,digno,
worthy,irreprensible,
blameless,limpio,
clean,inocente,
guiltless,inmaculado,
immaculate,incorrupto,
incorrupt,incorruptible,
incorruptible,inocente,
innocent,inofensivo,
inoffensive,irreprochable,
irreproachable,inocente,
unobjectionable,angelical,
angelic,lirio blanco,
lily-white,puro,
pure,escrupuloso,
scrupulous,inmaculado,
spotless,incorrupto,
uncorrupted,infalible,
unerring,moralista,
goody-goody,farisaico,
moralistic,rectitudinoso,
pharisaical,santurrón,
rectitudinous,santurrón,
sanctimonious,mojigato,
self righteous,autosuficiente,
integrity,integridad,
morality,moralidad,
behavior,comportamiento,
beliefs,creencias,
conduct,conducta,
customs,costumbres,
dogmas,dogmas,
ethics,ética,
habits,hábitos,
ideals,ideales,
manners,modales,
mores,costumbres,
policies,politicas,
scruples ,escrúpulos,