absolutely,absolutamente,
accepted,aceptado,
acclaimed,aclamado,
accomplish,realizar,
accomplishment,logro,
achievement,logro,
action,acción,
active,activo,
admire,admirar,
adorable,adorable,
adventure,aventuras,
affirmative,afirmativo,
affluent,afluente,
agree,de acuerdo,
agreeable,agradable,
amazing,increíble,
angelic,angelical,
appealing,atractivo,
approve,aprobar,
aptitude,aptitud,
attractive,atractivo,
awesome,increíble,
beaming,radiante,
beautiful,hermosa,
believe,creer,
beneficial,beneficioso,
bliss,felicidad,
bountiful,abundante,
bounty,generosidad,
brave,Bravo,
bravo,Bravo,
brilliant,brillante,
bubbly,burbujeante,
calm,calma,
celebrated,celebrado,
certain,cierto,
champ,morder,
champion,campeón,
charming,encantador,
cheery,alegre,
choice,elección,
classic,clásico,
classical,clásico,
clean,limpio,
commend,elogiar,
composed,compuesto,
congratulation,enhorabuena,
constant,constante,
cool,frio,
courageous,valiente,
creative,creativo,
cute,lindo,
dazzling,deslumbrante,
delight,deleite,
delightful,encantador,
distinguished,distinguido,
divine,adivinar,
earnest,serio,
easy,fácil,
ecstatic,extático,
effective,eficaz,
effervescent,efervescente,
efficient,eficiente,
effortless,fácil,
electrifying,electrizante,
elegant,elegante,
enchanting,encantador,
encouraging,alentador,
endorsed,avalado,
energetic,enérgico,
energized,energizado,
engaging,atractivo,
enthusiastic,entusiasta,
essential,esencial,
esteemed,estimado,
ethical,ético,
excellent,excelente,
exciting,excitante,
exquisite,Exquisito,
fabulous,fabuloso,
fair,justa,
familiar,familiar,
famous,famoso,
fantastic,fantástico,
favorable,favorable,
fetching,atractivo,
fine,multa,
fitting,adecuado,
flourishing,floreciente,
fortunate,afortunado,
free,gratis,
fresh,Fresco,
friendly,simpático,
fun,divertida,
funny,gracioso,
generous,generoso,
genius,genio,
genuine,auténtico,
giving,donación,
glamorous,atractivo,
glowing,brillante,
good,bien,
gorgeous,precioso,
graceful,agraciado,
great,estupendo,
green,verde,
grin,sonrisa,
growing,creciente,
handsome,guapo,
happy,contento,
harmonious,armonioso,
healing,curación,
healthy,saludable,
hearty,abundante,
heavenly,celestial,
honest,honesto,
honorable,honorable,
honored,honrado,
hug,abrazo,
idea,idea,
ideal,ideal,
imaginative,imaginativo,
imagine,imagina,
impressive,impresionante,
independent,independiente,
innovate,innovar,
innovative,innovador,
instant,instante,
instantaneous,instantáneo,
instinctive,instintivo,
intellectual,intelectual,
intelligent,inteligente,
intuitive,intuitivo,
inventive,inventivo,
jovial,jovial,
joy,alegría,
jubilant,jubiloso,
keen,entusiasta,
kind,amable,
knowing,conocimiento,
knowledgeable,experto,
laugh,reír,
learned,aprendió,
legendary,legendario,
light,luz,
lively,dinámico,
lovely,encantador,
lucid,lúcido,
lucky,afortunado,
luminous,luminoso,
marvelous,maravilloso,
masterful,maestro,
meaningful,significativo,
merit,mérito,
meritorious,meritorio,
miraculous,milagroso,
motivating,motivador,
moving,Moviente,
natural,natural,
nice,bonito,
novel,novela,
now,ahora,
nurturing,nutriendo,
nutritious,nutritivo,
okay,okey,
one,uno,
one-hundred percent,cien por ciento,
open,abierto,
optimistic,optimista,
paradise,paraíso,
perfect,Perfecto,
phenomenal,fenomenal,
pleasant,agradable,
pleasurable,agradable,
plentiful,abundante,
poised,listo,
polished,pulido,
popular,popular,
positive,positivo,
powerful,poderoso,
prepared,preparado,
pretty,lindo,
principled,de principios,
productive,productivo,
progress,Progreso,
prominent,prominente,
protected,protegido,
proud,orgulloso,
quality,calidad,
quick,rápido,
quiet,tranquilo,
ready,Listo,
reassuring,tranquilizador,
refined,refinado,
refreshing,refrescante,
rejoice,alegrarse,
reliable,de confianza,
remarkable,Notable,
resounding,rotundo,
respected,respetado,
restored,restaurado,
reward,recompensa,
rewarding,gratificante,
right,Derecha,
robust,robusto,
safe,a salvo,
satisfactory,satisfactorio,
secure,seguro,
seemly,decoroso,
simple,sencillo,
skilled,experto,
skillful,hábil,
smile,sonrisa,
soulful,conmovedor,
sparkling,espumoso,
special,especial,
spirited,enérgico,
spiritual,espiritual,
stirring,emocionante,
stunning,impresionante,
stupendous,estupendo,
success,éxito,
successful,exitoso,
sunny,soleado,
super,súper,
superb,magnífico,
supporting,secundario,
surprising,sorprendente,
terrific,fantástico,
thorough,exhaustivo,
thrilling,emocionante,
thriving,próspero,
tops,tapas,
tranquil,tranquilo,
transformative,transformador,
transforming,transformando,
trusting,confiando,
truthful,veraz,
unreal,irreal,
unwavering,inquebrantable,
up,hasta,
upbeat,optimista,
upright,vertical,
upstanding,recto,
valued,valorado,
vibrant,vibrante,
victorious,victorioso,
victory,victoria,
vigorous,vigoroso,
virtuous,virtuoso,
vital,vital,
vivacious,vivaz,
wealthy,adinerado,
welcome,Bienvenido,
well,bien,
whole,entero,
wholesome,sano,
willing,dispuesto,
wonderful,maravilloso,
wondrous,maravilloso,
worthy,valioso,
wow,Guau,
yes,sí,
yummy,delicioso,
zeal,celo,
zealous,celoso,